Service,Environment,Config key,Secret,Required,Owner,Source of truth,Validation,Last verified,Notes
Paperclip UI/API,local,PAPERCLIP_BIND_HOST,no,yes,CTO Architect,softwarehouse/README.md and .paperclip/config.json,GET http://127.0.0.1:3200/api/health,2026-05-31,Expected loopback host for local trusted Softwarehouse runtime.
Paperclip UI/API,local,PAPERCLIP_PORT,no,yes,CTO Architect,softwarehouse/README.md and .paperclip/config.json,GET http://127.0.0.1:3200/api/health,2026-05-31,Expected port 3200.
Paperclip database,local,embedded PostgreSQL port,no,yes,CTO Architect,softwarehouse/README.md and runtime startup logs,doctor-luckysparrow-softwarehouse.mjs,2026-08-15,Expected canonical local embedded PostgreSQL port 54329.
Paperclip runtime home,local,PAPERCLIP_HOME,no,yes,CTO Architect,.paperclip/runtime/home,doctor-luckysparrow-softwarehouse.mjs,2026-05-31,Runtime data is local and ignored by git.
Paperclip config,local,PAPERCLIP_CONFIG,no,yes,CTO Architect,.paperclip/config.json and softwarehouse/local-config.example.json,doctor-luckysparrow-softwarehouse.mjs,2026-05-31,Track examples only; do not commit live config.
Paperclip env,local,.paperclip/.env,mixed,yes,Security Review Lead,softwarehouse/local-env.example,doctor-luckysparrow-softwarehouse.mjs,2026-05-31,Live env ignored by git; examples only in repo.
Codex managed agent auth,local,CODEX_HOME,yes,yes,CTO Architect,softwarehouse/operating-processes.md,repair-softwarehouse-codex-auth.mjs,2026-05-31,Preferred mode is local Codex login seeded into managed homes; do not require OPENAI_API_KEY by default.
Codex API-key billing,local,OPENAI_API_KEY,yes,no,Security Review Lead,Paperclip secret storage,configure-softwarehouse-runtime-secrets.mjs plus smoke test,unknown,Only when explicit API-key billing is desired.
Softwarehouse agent roster,local,agent-roster.json,no,yes,Portfolio Director,softwarehouse/agent-roster.json,sync-luckysparrow-agent-instructions.mjs plus audit,2026-05-31,Model and responsibility policy live here.
Agent instruction bundles,local,softwarehouse/instructions/**,no,yes,Docs Memory Lead,softwarehouse/instructions/,sync-luckysparrow-agent-instructions.mjs plus instruction drift audit,2026-05-31,Shared modules plus one role file per agent.
Workspace boundary audit,local,SOFTWAREHOUSE_ALLOWED_WORKSPACE_ROOTS,no,yes,CTO Architect,"Paperclip_Softwarehouse; Soar; Roost",pnpm run softwarehouse:workspace-boundary-audit,2026-07-04,Active Stage 1 projects must remain inside allowed roots; root-level generated artifacts under /Aplikacje are forbidden.
Portfolio index,local,softwarehouse/portfolio/APPLICATIONS_INDEX.*,no,yes,Docs Memory Lead,softwarehouse/portfolio,node scripts/update-softwarehouse-portfolio-index.mjs plus pnpm run softwarehouse:workspace-boundary-audit,2026-07-04,Canonical Stage 1 portfolio index lives inside Paperclip_Softwarehouse; root-level APPLICATIONS_INDEX files under /Aplikacje are forbidden.
Architecture graph exports,project,docs/graphs/*,no,yes,CTO Architect,softwarehouse/architectural-awareness-layer.md,pnpm softwarehouse:architecture-lifecycle,2026-05-31,Required for active projects before broad implementation.
Soar workspace,project,workspace path,no,yes,Soar Project Manager,C:/Personal/Projekty/Aplikacje/Soar,pnpm softwarehouse:two-project-readiness,2026-05-31,Only active autonomous delivery pilot.
Roost workspace,project,workspace path,no,yes,Roost Project Manager,C:/Personal/Projekty/Aplikacje/Roost,pnpm softwarehouse:two-project-readiness,2026-05-31,Preparation-only until Portfolio activates Roost.
Coolify project metadata,VPS,Coolify project/environment/resource ids,no,yes,Ops Release Lead,softwarehouse/coolify-resource-model.md and project deploy docs,pnpm softwarehouse:unblock-packet plus read-only Coolify status,unknown,Store ids and resource mapping, not tokens.
Coolify API token,VPS,COOLIFY_* secret refs,yes,conditional,Security Review Lead,Paperclip secret storage,secret metadata freshness plus redacted read-only status,unknown,Never commit or print values.
VPS SSH access,VPS,VPS_SSH_* secret refs,yes,conditional,Ops Release Lead,Paperclip secret storage,secret metadata freshness plus redacted SSH host/key-path proof,unknown,Use only for approved deploy/log/health recovery. Store host/user/path/passphrase/password as Paperclip secret refs; never commit or print values. Prefer key auth and pinned known_hosts.
Soar smoke account,VPS/production,SMOKE_AUTH_* secret refs,yes,conditional,QA Regression Lead,Paperclip secret storage,release-smoke / workers-ready proof,unknown,Use protected production audit credentials only through secret refs.
Soar ops smoke metadata,VPS/production,SMOKE_OPS_* secret refs,yes,conditional,Ops Release Lead,Paperclip secret storage,redacted deploy/readiness proof,unknown,Optional entries for ops evidence.
Backups,local,.paperclip/runtime/backups,no,yes,Docs Memory Lead,.paperclip/runtime/backups,backup presence and restore drill when needed,2026-05-31,Runtime artifacts are local; record restore proof before risky migrations.
