Command,Type,Purpose,Safety class,Requires approval,Required capability,Evidence,Owner,Notes
pnpm test,shell,Run the default stable Vitest suite,safe_read,no,repo test access,Command output,Engineering Delivery Lead,Use targeted tests first when a narrower proof is enough.
pnpm typecheck,shell,Run workspace type checks,safe_read,no,repo test access,Command output,Engineering Delivery Lead,Run before PR-ready or broad contract handoff.
pnpm build,shell,Run workspace build,safe_read,no,repo build access,Command output,Engineering Delivery Lead,Run when build/runtime packaging is touched.
pnpm softwarehouse:architecture-lifecycle,shell,Check required architecture graph exports for controlled projects,safe_read,no,project read access,Generated report plus command output,CTO Architect,Run before intake/control decisions.
pnpm softwarehouse:architecture-lifecycle:apply,shell,Refresh architecture graph exports when safe,repo_write,no,project repo write access,Changed graph/status files plus command output,CTO Architect,Do not run during protected project mutation hold.
pnpm softwarehouse:architecture-index -- --project <name> --root <path>,shell,Build architecture awareness exports for one project,repo_write,no,project repo write access,Changed graph/status files plus command output,Docs Memory Lead,Prefer project-native graph scripts when they exist.
pnpm softwarehouse:control-tick,shell,Run canonical read-only Softwarehouse supervision pass,safe_read,no,Paperclip API read access,report/softwarehouse-control-tick.latest.* plus command output,Portfolio Director,Preferred handoff for routines and PMs.
pnpm softwarehouse:longevity-doctor,shell,Dry-run local Paperclip longevity doctor,safe_read,no,Paperclip API read access,report/longevity/softwarehouse-longevity-doctor.latest.* plus command output,CTO Architect,Checks API health restartRequired WIP stale issues workspace policies routines and snapshot export.
pnpm softwarehouse:longevity-doctor:apply,shell,Run local Paperclip longevity doctor and write safe watchdog outputs,paperclip_write,no,Paperclip API write access,report/longevity/softwarehouse-longevity-doctor.latest.* restart request if needed plus issue update,CTO Architect,May write a safe dev-server restart request only; no production app restart secret access push deploy or live-account mutation.
pnpm softwarehouse:longevity-snapshot,shell,Export redacted Softwarehouse longevity snapshot,safe_read,no,Paperclip API read access,report/longevity/softwarehouse-longevity-snapshot.latest.* plus command output,Docs Memory Lead,Snapshot must not include secret values.
pnpm softwarehouse:readiness-snapshot,shell,Export short PM/operator readiness snapshot,safe_read,no,Paperclip API read access,report/softwarehouse-readiness-snapshot.latest.* plus command output,Project Manager,Reads latest control tick and fails closed when the source is stale.
node scripts/update-softwarehouse-portfolio-index.mjs,shell,Refresh the Paperclip-owned application portfolio index,repo_write,no,portfolio root read access,softwarehouse/portfolio/APPLICATIONS_INDEX.md plus CSV and command output,Docs Memory Lead,Reads /Aplikacje siblings but writes only inside Paperclip_Softwarehouse; root-level APPLICATIONS_INDEX files remain forbidden.
pnpm softwarehouse:unblock-packet,shell,Export redacted blocker and gate packet,safe_read,no,Paperclip API read access,docs/status/softwarehouse-unblock-packet.md plus JSON,Portfolio Director,Not approval for protected mutation.
pnpm softwarehouse:source-control,shell,Classify dirty worktree state across controlled projects,safe_read,no,project read access,report/softwarehouse-source-control.latest.* plus command output,Engineering Delivery Lead,Not approval to commit or push.
pnpm softwarehouse:source-control-comment,shell,Dry-run source-control classification comment,safe_read,no,Paperclip API read access,Dry-run output,Engineering Delivery Lead,Use apply variant only when comments are safe.
pnpm softwarehouse:source-control-comment:apply,shell,Write Paperclip classification comment for source-control state,paperclip_write,no,Paperclip issue comment access,Issue comment and command output,Engineering Delivery Lead,Do not mutate project repo.
pnpm softwarehouse:gate-watch,shell,Dry-run stale protected gate watcher,safe_read,no,Paperclip API read access,Dry-run output,Ops Release Lead,Organizational escalation only.
pnpm softwarehouse:gate-watch:apply,shell,Write stale gate watcher updates,paperclip_write,no,Paperclip issue write access,Issue updates and command output,Ops Release Lead,Not approval for deploy/restart/secret access.
pnpm softwarehouse:stale-gate-escalation,shell,Dry-run stale gate owner escalation,safe_read,no,Paperclip API read access,Dry-run output,Portfolio Director,Use when gate facts are stale.
pnpm softwarehouse:stale-gate-escalation:apply,shell,Write stale gate owner escalation,paperclip_write,no,Paperclip issue write access,Issue updates and command output,Portfolio Director,Escalates missing facts only.
pnpm softwarehouse:live-run-janitor,shell,Dry-run closed-issue live-run cleanup,safe_read,no,Paperclip API read access,Dry-run output,Portfolio Director,Run before broad board cleanup.
pnpm softwarehouse:live-run-janitor:apply,shell,Cancel safe closed-issue live-run tails,paperclip_write,no,Paperclip run control access,Issue/run updates and command output,Portfolio Director,Only when dry-run names safe tails or governor self-supervision loops.
pnpm softwarehouse:project-mutation-guard,shell,Dry-run project mutation safety guard,safe_read,no,project read access,Dry-run output,Security Review Lead,Use before protected work.
pnpm softwarehouse:project-mutation-guard:apply,shell,Write guard findings,paperclip_write,no,Paperclip issue write access,Issue updates and command output,Security Review Lead,Does not approve mutation.
pnpm softwarehouse:two-project-readiness,shell,Check readiness for active plus prepared projects,safe_read,no,Paperclip/project read access,Command output,Portfolio Director,Use before activating another delivery project.
pnpm softwarehouse:known-state-harvest,shell,Dry-run known-state harvesting lanes,safe_read,no,Paperclip/project read access,Dry-run output,Project Manager,Allowed during gate holds if read-only.
pnpm softwarehouse:known-state-harvest:apply,shell,Create or update known-state evidence issues,paperclip_write,no,Paperclip issue write access,Issue updates and command output,Project Manager,No project repo mutation unless a child issue grants it.
pnpm softwarehouse:seed-safe-lane,shell,Dry-run safe nonproduction lane seeding,safe_read,no,Paperclip/project read access,Dry-run output,Engineering Delivery Lead,Use when protected gates block deploy work.
pnpm softwarehouse:seed-safe-lane:apply,shell,Create safe nonproduction lanes,paperclip_write,no,Paperclip issue write access,Issue updates and command output,Engineering Delivery Lead,Must not touch deploy, secrets, live accounts, or production data.
pnpm softwarehouse:gate-approval,shell,Dry-run recording a narrow gate approval,protected_prepare,yes,operator-approved gate details,Dry-run output,Ops Release Lead,Approval facts must name target/action/rollback/smoke.
pnpm softwarehouse:gate-approval:apply,shell,Record a narrow gate approval,protected_write,yes,operator-approved gate details,Issue update and command output,Ops Release Lead,Still does not execute production mutation by itself.
node scripts/configure-softwarehouse-local-codex-auth.mjs,shell,Configure agents for local Codex login flow,paperclip_write,no,local Codex auth context,Command output plus adapter smoke result,CTO Architect,Does not copy secret values into repo.
node scripts/repair-softwarehouse-codex-auth.mjs,shell,Smoke-test and repair Codex auth state,paperclip_write,no,local Codex auth context,Smoke-test output and issue update,CTO Architect,Run after local Codex auth exists.
node scripts/configure-softwarehouse-runtime-secrets.mjs,shell,Configure explicit API-key billing mode for agents,secret_write,yes,approved secret provider access,Secret slot metadata only,Security Review Lead,Use only when API-key billing is explicitly desired.
node scripts/configure-soar-secret-placeholders.mjs,shell,Create encrypted Soar/Coolify secret placeholders,secret_write,yes,approved secret provider access,Secret slot metadata only,Security Review Lead,Never print or commit secret values.
node scripts/repair-stage1-least-privilege-bindings.mjs,shell,Audit and prune Stage 1 Coolify deploy and VPS SSH bindings to the approved holder set,paperclip_write,no,local Paperclip board access,Names-only before/after binding report,Security Review Lead,Removes protected env refs from unauthorized agents and classifies zero-ref aliases without exposing secret values.
node scripts/configure-roost-secret-placeholders.mjs,shell,Create encrypted Roost secret placeholders,secret_write,yes,approved secret provider access,Secret slot metadata only,Security Review Lead,Never print or commit secret values.
git status --short,shell,Inspect local worktree state,safe_read,no,repo read access,Command output,Any agent,Read-only.
git diff -- <paths>,shell,Inspect unstaged/staged changes,safe_read,no,repo read access,Command output,Any agent,Do not include secret/local env files in copied output.
git add <scoped paths>; git commit,shell,Create scoped commit for verified completed lane,repo_write,no,repo write access,Commit SHA plus verification evidence,Engineering Delivery Lead,Allowed only under workspace policy and never with unrelated changes.
git push,shell,Push committed source changes,protected_write,yes,explicit branch/remote/source-ref intent,Remote branch and checks,Engineering Delivery Lead,Requires push intent, checks, deploy impact, and no secret exposure.
Coolify status/log/read operation,provider,Inspect deploy/resource status on VPS,safe_provider_read,no,Coolify read credential,Redacted status/log summary,Ops Release Lead,Use least privilege; never persist tokens.
Coolify deploy/restart/rollback/env mutation,provider,Mutate VPS runtime resources,protected_write,yes,release mutation permit,Target resource/action/rollback/smoke evidence,Ops Release Lead,Requires Security review and explicit permit.
