area,feature_or_mechanism,status,source_of_truth,verification,last_checked,risk_if_regresses,next_check_or_owner_note
runtime_file_state,Managed agent instruction bundles for LuckySparrow,implemented,"tracked .paperclip/agent-instructions/<companyId>/agents/<agentId>/instructions plus legacy user-home fallback",39 agents audited with AGENTS.md and references present; CSM and EDL instructions-bundle endpoints returned no warnings,2026-07-06,"Agents can fail to open instructions or run with missing role context; do not treat tracked .paperclip/agent-instructions or active adapterConfig instruction roots as disposable temp","Add a recurring/manual file-state audit before cleanup and after restore operations"
runtime_file_state,Agent path reference integrity,implemented,"agent adapterConfig/runtimeConfig path references in active Paperclip API",78 Windows path references checked; missingCount=0,2026-07-06,"Config may point to deleted workspaces or instruction roots even when database rows still exist","Run path-ref audit after cleanup, backup restore, or instance migration"
workspace_boundaries,Stage 1 allowed roots for Paperclip/Soar/Roost,implemented,AGENTS.md and scripts/audit-softwarehouse-workspace-boundaries.mjs,"pnpm run softwarehouse:workspace-boundary-audit passed; warnings only for parked sibling folders",2026-07-06,"Agents may mutate/delete sibling app folders or create root-level artifacts under Aplikacje","Run after project/routine/workspace config changes"
environment_windows,Windows symlink and command compatibility,implemented,"scripts/link-plugin-dev-sdk.mjs and softwarehouse/instructions/shared/05-environment-operations.md","workspace-boundary audit now runs through pnpm without plugin-workspace-diff EPERM",2026-07-06,"Audits/tests can fail for environment reasons and hide real defects","Keep Windows guidance in shared instructions; prefer split commands over shell-specific chaining"
served_ui,Real served UI build path,implemented,"server/ui-dist is served by active local instance; ui/dist is build output only","UI build copied to server/ui-dist in prior work; dashboard/costs smoke passed in project journal",2026-07-06,"Browser can show old/blank UI even after ui/dist rebuild","After UI build, copy or publish to the actually served directory and smoke /LUC/dashboard"
model_router,Central Softwarehouse model router,implemented,softwarehouse/model-router.config.json,"role/name-prefix defaults present for active and parked roles; router profiles cheap/spark/light/standard/reasoning/strategic configured",2026-07-06,"Agents may all run on one expensive/default model and exhaust one quota lane","Audit role defaults when adding agents or changing departments"
model_economics,Model profile catalog and cost metadata,implemented,softwarehouse/model-economics.config.json,"/costs/model-profiles returned 6 profiles plus live rows; default models/quota lanes/cost weights configured",2026-07-06,"Costs page cannot explain which lanes are cheap/standard/strategic or how success should be evaluated","Refresh after OpenAI model catalog/limits change"
quota_limits_ui,Costs Limits tab and live quota windows,implemented,"/api/companies/:companyId/costs/quota-windows and /LUC/costs Limits","OpenAI codex-wham returned lane-scoped standard 5h and weekly windows; weekly standard at 98%",2026-07-06,"Owner cannot see why work is held or which lane is constrained","Keep per-lane bars/status visible; do not invent per-model limits when provider does not expose them"
quota_gating,Lane-aware Codex quota gating,implemented,"server heartbeat quota gate plus shared quota-window metadata","Prior tests and live audit show standard weekly hold while spark/light can be treated separately when provider reports lanes",2026-07-06,"All Codex work may stop even when another model lane still has capacity, or standard work may start during weekly exhaustion","Run heartbeat model-profile tests after quota/gating changes"
quota_gating,Quota threshold consistency across UI/server/audit scripts,implemented,"packages/shared/src/types/instance.ts, ui InstanceExperimentalSettings, scripts/audit-softwarehouse-model-cost-readiness.mjs","fallback corrected to 75 short / 90 long in audit script and gate spec test",2026-07-06,"Agents/CFO may make wrong start/stop decisions from stale audit defaults","Keep shared constants as canonical; tests should assert the current default"
costs_budget,API billing versus Codex subscription capacity separation,implemented,"costs summary, costs quota windows, softwarehouse cost-token policy","/costs/summary shows reported API spend separately from subscription plan usage; current subscription weekly usage 98%",2026-07-06,"Dashboard may mislabel weekly quota as monthly invoice spend or hide real capacity pressure","Always label effective plan spend as operational estimate, not invoice"
