id,layer,capability,implementation_location,state,persistence,upstream_overlap,upgrade_risk,recommendation,evidence
CFG-01,configuration,"Company LuckySparrow","Paperclip database",active,"DB backup and compatible migration",low,medium,"retain and verify counts after migration","1 live company"
CFG-02,configuration,"Agent organization","Paperclip database",active,"DB backup and compatible migration",medium,medium,"retain; simplify span and role balance","39 agents; root has 13 direct reports"
CFG-03,configuration,"Model allocation","agent adapter config",active,"database/config dependent",low,low,"retain and revalidate model availability","30 Terra; 7 Sol; 2 Luna"
CFG-04,configuration,"Budgets and hard stops","company and agent budgets",active,"database plus server semantics",medium,medium,"retain and regression-test hard stop","weekly 4600 cents; monthly 20000 cents"
CFG-05,configuration,"Goals and projects","Paperclip database",active,"company export partly covers",medium,medium,"link every active project to a goal or explicit exception","13 goals; 9 projects; only 3 linked"
CFG-06,configuration,"Routines","Paperclip database",paused,"company export covers standard records",medium,low,"archive obsolete routines; do not treat as active engine","37 total; 24 archived; 13 paused"
CFG-07,configuration,"Agent instruction bundles","repo runtime and user mirror",active,"files survive but contract may change",high,medium,"version source templates; stop versioning materialized copies","39 unique bundles; minimum 41 Markdown files"
CFG-08,configuration,"Search disabled for agents","adapter config",active,"database/config dependent",low,low,"retain only where evidence does not require current web data","39 of 39 disabled"
CFG-09,configuration,"Sandbox bypass policy","adapter config and policy docs",active,"database/config dependent",medium,high,"keep least privilege; repair stale audit expectation","only DRE true; audit expected 38 additional true"
EXT-01,external,"Hermes adapter plugin","C:/Users/wrobl/.paperclip/adapter-plugins.json",installed,"user-profile file",medium,medium,"compatibility-test or remove if unused","@henkey/hermes-paperclip-adapter 0.4.3; zero live users"
EXT-02,external,"Codex assurance automations","C:/Users/wrobl/.codex/automations",active,"outside repo",medium,medium,"keep read-only and verify API after update","4 active assurance jobs; disk hygiene paused"
EXT-03,external,"Product truth and topology audits","scripts/",active,"Git merge required",medium,medium,"retain as release gates; fix classifier leakage","topology/workspace pass; project truth has gaps"
CORE-01,code,"Admission controls and decisions","packages/db server ui",committed,"local commits plus DB",high,high,"compare semantically with upstream policy/decisions and port or bridge","local schema/routes/UI"
CORE-02,code,"Assignment proposals","packages/db server ui",committed,"local commits plus DB",medium,high,"retain invariant or adopt upstream queue after equivalence test","local assignment_proposals schema"
CORE-03,code,"Team catalog installations","packages/db server ui",committed,"local commits plus DB",medium,medium,"evaluate against upstream environment/config model","local catalog_team_installations"
CORE-04,code,"Delivery tasks and transitions","packages/db server ui",committed,"local commits plus DB",high,high,"retain outcome semantics; map to upstream pipelines/cases","local delivery_tasks and transitions"
CORE-05,code,"Product deliveries and outcomes","packages/db server ui",committed,"not covered by standard company export",high,critical,"port before migrating data; add export support","5 deliveries; 4 outcome accepted"
CORE-06,code,"Organizational records and observations","packages/db server ui",committed,"not covered by standard company export",high,critical,"port or transform into upstream decisions/memory","17 decisions; 129 observations"
CORE-07,code,"Workspace resource claims","packages/db server",committed,"local commits plus DB",medium,high,"retain atomic isolation or map to upstream equivalent","local workspace_resource_claims"
CORE-08,code,"Roost outbox/publisher","packages/db server scripts",committed,"local commits plus DB",low,high,"externalize behind stable plugin/integration contract","local roost outbox"
CORE-09,code,"Softwarehouse API and UI","server ui",committed,"local commits",high,high,"decompose by capability and port selectively","Softwarehouse page/routes/services"
CORE-10,code,"Organizational memory and learning UI","server ui",committed,"local commits plus DB",high,high,"retain only with measurable promotion loop","1 promoted learning"
CORE-11,code,"Artifacts and work products","server ui shared",committed,"local commits plus DB",medium,medium,"compare with upstream artifact model and preserve evidence links","Artifacts UI and upload helpers"
WIP-01,uncommitted_code,"Autonomy schema","packages/db/src/schema/autonomy.ts",uncommitted,"working tree only",high,critical,"commit and test before any update","dirty source audit"
WIP-02,uncommitted_code,"Delegation reports","packages/db/src/schema/delegation_reports.ts",uncommitted,"working tree only",medium,critical,"commit and map to upstream task/delegation model","dirty source audit"
WIP-03,uncommitted_code,"Native supervision","packages/db/src/schema/supervision.ts and server services",uncommitted,"working tree and live DB",high,critical,"freeze vertical slice; compare with watchdog/recovery upstream","27 findings; 500 cycles"
WIP-04,uncommitted_code,"Work proposals","packages/db/src/schema/work_proposals.ts",uncommitted,"working tree only",high,critical,"commit or retire after upstream queue comparison","dirty source audit"
