id,name,type,status,layer,module,feature,description,file_path,related_files,parent_id,child_ids,depends_on,used_by,tests_related,docs_related,risk_level,completion_percent,last_verified_at,verification_status,notes
NODE-FEATURE-ISSUES,Issue orchestration,feature,partially_verified,fullstack,server+ui+db,FEATURE-ISSUE-ORCHESTRATION,Coordinates issue assignment heartbeat and execution continuity,doc/SPEC-implementation.md,server/src/routes/issues.ts;ui/src/pages/IssueDetail.tsx,,NODE-API-ISSUES;NODE-PAGE-ISSUES,NODE-FEATURE-COMPANY,NODE-WORKFLOW-ISSUE,TEST-ISSUE-CHECKOUT;TEST-ISSUE-DEPENDENCY-WAKEUPS,doc/heartbeat-protocol.md,high,86,2026-05-27,partially_verified,Primary execution surface.
NODE-FEATURE-COMPANY,Company scoping,feature,verified,fullstack,server+ui+db,FEATURE-COMPANY-SCOPING,Enforces company boundaries across state and APIs,doc/SPEC-implementation.md,packages/db/src/schema/companies.ts,,,NODE-FEATURE-ISSUES;NODE-FEATURE-APPROVALS;NODE-FEATURE-BUDGET,,TEST-ISSUE-DEPENDENCY-WAKEUPS,doc/GOAL.md,critical,92,2026-05-27,verified_local,Control-plane tenancy invariant.
NODE-FEATURE-APPROVALS,Approval gates,feature,verified_local,fullstack,server+ui,FEATURE-APPROVAL-GATES,Governed mutations require explicit approval decisions,doc/SPEC-implementation.md,server/src/routes/approvals.ts;ui/src/pages/Approvals.tsx,,NODE-API-APPROVALS,NODE-FEATURE-COMPANY,NODE-WORKFLOW-APPROVAL,TEST-APPROVAL-IDEMPOTENCY,doc/handling-approvals.md,high,88,2026-05-27,verified_local,Idempotent resolution behavior.
NODE-FEATURE-BUDGET,Budget hard-stop,feature,partially_verified,backend,server+db,FEATURE-BUDGET-HARD-STOP,Tracks cost and incidents and pauses policy-breaching activity,doc/SPEC-implementation.md,packages/db/src/schema/budget_policies.ts;packages/db/src/schema/budget_incidents.ts,,NODE-API-COSTS,NODE-FEATURE-COMPANY,NODE-WORKFLOW-BUDGET,TEST-COSTS-ROUTES,doc/costs-and-budgets.md,critical,80,2026-05-27,partially_verified,High risk due to safety impact.
NODE-FEATURE-ADAPTERS,Adapter plugin system,feature,implemented_not_verified,fullstack,server+ui+plugins,FEATURE-ADAPTER-PLUGIN-SYSTEM,Loads external adapters and parser schemas at runtime,adapter-plugin.md,server/src/routes/adapters.ts;ui/src/pages/AdapterManager.tsx,,NODE-API-ADAPTERS,NODE-FEATURE-COMPANY,NODE-WORKFLOW-ADAPTERS,TEST-ADAPTER-AUTHZ,AGENTS.md;adapter-plugin.md,high,74,2026-05-27,implemented_not_verified,Fork-specific Hermes externalization model.
NODE-API-ISSUES,Issues API route,api_route,verified_local,backend,server,FEATURE-ISSUE-ORCHESTRATION,Issue read/write endpoints and thread interactions,server/src/routes/issues.ts,server/src/__tests__/issues-goal-context-routes.test.ts,NODE-FEATURE-ISSUES,,NODE-FEATURE-COMPANY,NODE-PAGE-ISSUES,TEST-ISSUE-CHECKOUT,doc/SPEC-implementation.md,high,90,2026-05-27,verified_local,Backed by multiple route suites.
NODE-API-APPROVALS,Approvals API route,api_route,verified_local,backend,server,FEATURE-APPROVAL-GATES,Approval lifecycle endpoints,server/src/routes/approvals.ts,server/src/__tests__/approval-routes-idempotency.test.ts,NODE-FEATURE-APPROVALS,,NODE-FEATURE-COMPANY,NODE-PAGE-APPROVALS,TEST-APPROVAL-IDEMPOTENCY,doc/handling-approvals.md,high,88,2026-05-27,verified_local,Governed action enforcement.
NODE-API-COSTS,Costs API route,api_route,partially_verified,backend,server,FEATURE-BUDGET-HARD-STOP,Cost and budget visibility endpoints,server/src/routes/costs.ts,server/src/__tests__/costs-routes.test.ts,NODE-FEATURE-BUDGET,,NODE-FEATURE-COMPANY,NODE-PAGE-DASHBOARD,TEST-COSTS-ROUTES,doc/costs-and-budgets.md,high,78,2026-05-27,partially_verified,Needs broader budget incident cross-checks.
NODE-API-ADAPTERS,Adapters API route,api_route,implemented_not_verified,backend,server,FEATURE-ADAPTER-PLUGIN-SYSTEM,Adapter listing registration and validation endpoints,server/src/routes/adapters.ts,server/src/__tests__/adapter-routes-authz.test.ts,NODE-FEATURE-ADAPTERS,,NODE-FEATURE-COMPANY,NODE-PAGE-ADAPTER-MANAGER,TEST-ADAPTER-AUTHZ,adapter-plugin.md,high,73,2026-05-27,implemented_not_verified,Plugin integration proof still partial.
NODE-PAGE-ISSUES,Issues page,page,verified_local,frontend,ui,FEATURE-ISSUE-ORCHESTRATION,Company issue board and filters,ui/src/pages/Issues.tsx,ui/src/components/IssuesList.tsx,NODE-FEATURE-ISSUES,,NODE-API-ISSUES,NODE-FEATURE-ISSUES,,doc/SPEC-implementation.md,medium,88,2026-05-27,verified_local,Primary operator entrypoint.
