area,module,feature,file_path,test_path,docs_path,task_id,agent_id,evidence_id,status,last_verified_at,notes
runtime,agents,AgentOperatingRecord,packages/db/src/schema/agents.ts,,docs/agent-governance.md,,,ADR-0001,partial,2026-07-02,"Implemented as projection over agents plus runs/activity; normalized dashboard read model still needed."
runtime,issues,AgentTask,packages/db/src/schema/issues.ts,,docs/agent-runtime-layer.md,,,ADR-0001,implemented,2026-07-02,"Canonical task model uses Paperclip issues and status overlay."
runtime,heartbeat_runs,AgentRun,packages/db/src/schema/heartbeat_runs.ts,,docs/agent-runtime-layer.md,,,ADR-0001,implemented,2026-07-02,"Run type needs stronger structured field or metadata convention."
runtime,trajectory,AgentRunEvent,packages/db/src/schema/heartbeat_run_events.ts,server/src/__tests__/heartbeat-local-environment.test.ts,docs/agent-trajectory-log.md,,,ADR-0001,implemented,2026-07-02,"Activity log complements run events for mutating actions."
evidence,work_products,AgentEvidence,packages/db/src/schema/issue_work_products.ts,server/src/__tests__/issue-update-comment-wakeup-routes.test.ts,docs/agent-evidence.md,,,agent-completion-evidence-gate,partial,2026-07-02,"Evidence exists and agent-owned done now requires work-product evidence; deploy bundle enforcement remains a blocker."
governance,policy,AgentControlPolicy,server/src/routes/issues.ts,server/src/__tests__/issue-update-comment-wakeup-routes.test.ts,docs/agent-policy-gates.md,,,agent-completion-evidence-gate,partial,2026-07-02,"Agent completion gate is enforced through issue updates; broader deployment/supervisor gate service remains needed."
governance,supervision,AgentSupervisorReview,doc/SPEC-implementation.md,scripts/softwarehouse-learning-loop.test.mjs,docs/supervisor-agents.md,,,ADR-0001,partial,2026-07-02,"Represented through approvals/interactions/issues; normalized review summary remains needed."
delivery,sdlc,SoftwarehouseLoop,scripts/run-softwarehouse-control-tick.mjs,scripts/softwarehouse-learning-loop.test.mjs,docs/softwarehouse-sdlc.md,,,audit-2026-07-02,partial,2026-07-02,"Control tick and learning loop exist; dashboard and hard gate integration still needed."
deployment,coolify,ProductionReconciler,scripts/run-coolify-production-reconciler.mjs,,docs/deployment.md,,,coolify-runtime-access,implemented,2026-07-02,"Runtime binding was checked as ready in prior control tick; do not log secret values."
monitoring,softwarehouse,MissionControl,ui/src,,docs/monitoring.md,,,audit-2026-07-02,partial,2026-07-02,"Existing dashboard/activity/run views need a consolidated mission-control surface."
