"id","type","name","path","description","status","owner","dependencies","related_entities","evidence","updated_at"
"agent:llm-wiki-maintainer:a18b9a3e5b","agent","LLM Wiki Maintainer","packages/plugins/plugin-llm-wiki/agents/wiki-maintainer/AGENTS.md","Agent instruction or state document.","implemented","Plugin Platform Lead","","module:packages-plugins-plugin-llm-wiki:e31e3d114a","packages/plugins/plugin-llm-wiki/agents/wiki-maintainer/AGENTS.md","2026-05-25T16:38:13.365Z"
"agent:agents:b19d1471f6","agent","AGENTS","packages/teams-catalog/catalog/bundled/company-defaults/core-exec-team/agents/ceo/AGENTS.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:packages-teams-catalog-catalog:c60d3dd99e","packages/teams-catalog/catalog/bundled/company-defaults/core-exec-team/agents/ceo/AGENTS.md","2026-06-11T03:17:46.655Z"
"agent:agents:a407e8f633","agent","AGENTS","packages/teams-catalog/catalog/bundled/company-defaults/core-exec-team/agents/cto/AGENTS.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:packages-teams-catalog-catalog:c60d3dd99e","packages/teams-catalog/catalog/bundled/company-defaults/core-exec-team/agents/cto/AGENTS.md","2026-06-20T22:00:49.332Z"
"agent:agents:35daf04255","agent","AGENTS","packages/teams-catalog/catalog/bundled/company-defaults/core-exec-team/agents/qa/AGENTS.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:packages-teams-catalog-catalog:c60d3dd99e","packages/teams-catalog/catalog/bundled/company-defaults/core-exec-team/agents/qa/AGENTS.md","2026-06-20T22:00:20.518Z"
"agent:agents:4e1e52d165","agent","AGENTS","packages/teams-catalog/catalog/bundled/product/product-design/agents/ux-designer/AGENTS.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:packages-teams-catalog-catalog:c60d3dd99e","packages/teams-catalog/catalog/bundled/product/product-design/agents/ux-designer/AGENTS.md","2026-06-11T03:17:46.659Z"
"agent:agents:2a990c2a1b","agent","AGENTS","packages/teams-catalog/catalog/bundled/software-development/product-engineering/agents/cto/AGENTS.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:packages-teams-catalog-catalog:c60d3dd99e","packages/teams-catalog/catalog/bundled/software-development/product-engineering/agents/cto/AGENTS.md","2026-06-20T22:00:14.232Z"
"agent:agents:b2810118d6","agent","AGENTS","packages/teams-catalog/catalog/bundled/software-development/product-engineering/agents/qa/AGENTS.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:packages-teams-catalog-catalog:c60d3dd99e","packages/teams-catalog/catalog/bundled/software-development/product-engineering/agents/qa/AGENTS.md","2026-06-20T22:00:20.516Z"
"agent:agents:b96874dde7","agent","AGENTS","packages/teams-catalog/catalog/bundled/software-development/product-engineering/agents/senior-coder/AGENTS.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:packages-teams-catalog-catalog:c60d3dd99e","packages/teams-catalog/catalog/bundled/software-development/product-engineering/agents/senior-coder/AGENTS.md","2026-06-20T22:09:38.046Z"
"agent:agents:e399283d23","agent","AGENTS","packages/teams-catalog/catalog/optional/content/content-machine/agents/content-lead/AGENTS.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:packages-teams-catalog-catalog:c60d3dd99e","packages/teams-catalog/catalog/optional/content/content-machine/agents/content-lead/AGENTS.md","2026-06-11T03:17:46.663Z"
"agent:agents:e3d542a2ff","agent","AGENTS","packages/teams-catalog/catalog/optional/operations/agent-enablement/agents/ai-agent-development-partner/AGENTS.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:packages-teams-catalog-catalog:c60d3dd99e","packages/teams-catalog/catalog/optional/operations/agent-enablement/agents/ai-agent-development-partner/AGENTS.md","2026-06-14T22:03:21.331Z"
"agent:coder-agent-template:f64c59489d","agent","Coder Agent Template","skills/paperclip-create-agent/references/agents/coder.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:skills:3e2f7cddae","skills/paperclip-create-agent/references/agents/coder.md","2026-05-25T16:38:13.781Z"
"agent:qa-agent-template:f91ba6ff0d","agent","QA Agent Template","skills/paperclip-create-agent/references/agents/qa.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:skills:3e2f7cddae","skills/paperclip-create-agent/references/agents/qa.md","2026-05-25T16:38:13.781Z"
"agent:securityengineer-agent-template:055079bdf9","agent","SecurityEngineer Agent Template","skills/paperclip-create-agent/references/agents/securityengineer.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:skills:3e2f7cddae","skills/paperclip-create-agent/references/agents/securityengineer.md","2026-05-25T16:38:13.782Z"
"agent:ux-designer-agent-template:a4a9e030dc","agent","UX Designer Agent Template","skills/paperclip-create-agent/references/agents/uxdesigner.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:skills:3e2f7cddae","skills/paperclip-create-agent/references/agents/uxdesigner.md","2026-05-25T16:38:13.782Z"
"api_endpoint:use-api:b4836ba90f","api_endpoint","USE /api","server/src/app.ts#/api","API endpoint inferred from route registration.","implemented","Backend Platform Lead","","feature:app-ts:a5b3435086|module:src:38f6004eb2","server/src/app.ts","1970-01-01T00:00:00.000Z"
"api_endpoint:use-api-auth:5aa7e1cef0","api_endpoint","USE /api/auth","server/src/app.ts#/api/auth","API endpoint inferred from route registration.","implemented","Backend Platform Lead","","feature:app-ts:a5b3435086|module:src:38f6004eb2|test:auth-routes-test-ts:f01314e159|document:paperclip-v1-implementation-spec:8fc73fd21b|route:authentication-md:7672692b23","server/src/app.ts","1970-01-01T00:00:00.000Z"
"api_endpoint:use-assets:c2ba42d242","api_endpoint","USE /assets","server/src/app.ts#/assets","API endpoint inferred from route registration.","implemented","Backend Platform Lead","","feature:app-ts:a5b3435086|module:src:38f6004eb2","server/src/app.ts","1970-01-01T00:00:00.000Z"
"api_endpoint:get-admin-users:33fe871543","api_endpoint","GET /admin/users","server/src/routes/access.ts#/admin/users","API endpoint inferred from route registration.","implemented","Backend Platform Lead","","route:access-ts:581c6f3c38|module:src-routes:b474eba4ee","server/src/routes/access.ts","1970-01-01T00:00:00.000Z"
"api_endpoint:get-admin-users-userid-company-access:3b3fbf2f12","api_endpoint","GET /admin/users/:userId/company-access","server/src/routes/access.ts#/admin/users/:userId/company-access","API endpoint inferred from route registration.","implemented","Backend Platform Lead","","route:access-ts:581c6f3c38|module:src-routes:b474eba4ee","server/src/routes/access.ts","1970-01-01T00:00:00.000Z"
