"entity_id","type","status","name","path","owner","proof"
"agent:agent-companies-specification-reference:9a51d26ed7","agent","implemented","Agent Companies Specification Reference",".agents/skills/company-creator/references/companies-spec.md","Engineering Delivery Lead",".agents/skills/company-creator/references/companies-spec.md"
"agent:example-company-package:780fc4acea","agent","implemented","Example Company Package",".agents/skills/company-creator/references/example-company.md","Engineering Delivery Lead",".agents/skills/company-creator/references/example-company.md"
"agent:creating-a-company-from-an-existing-repository:d6aa4503da","agent","implemented","Creating a Company From an Existing Repository",".agents/skills/company-creator/references/from-repo-guide.md","Engineering Delivery Lead",".agents/skills/company-creator/references/from-repo-guide.md"
"agent:company-creator:632d83c772","agent","implemented","Company Creator",".agents/skills/company-creator/SKILL.md","Engineering Delivery Lead",".agents/skills/company-creator/SKILL.md"
"agent:creating-a-paperclip-agent-adapter:a7997467b5","agent","implemented","Creating a Paperclip Agent Adapter",".agents/skills/create-agent-adapter/SKILL.md","Engineering Delivery Lead",".agents/skills/create-agent-adapter/SKILL.md"
"agent:security-vulnerability-response-instructions:8e6e1b2bfe","agent","implemented","Security Vulnerability Response Instructions",".agents/skills/deal-with-security-advisory/SKILL.md","Engineering Delivery Lead",".agents/skills/deal-with-security-advisory/SKILL.md"
"agent:doc-maintenance-audit-checklist:67b2730f7f","agent","implemented","Doc Maintenance Audit Checklist",".agents/skills/doc-maintenance/references/audit-checklist.md","Engineering Delivery Lead",".agents/skills/doc-maintenance/references/audit-checklist.md"
"agent:section-map:228b362133","agent","implemented","Section Map",".agents/skills/doc-maintenance/references/section-map.md","Engineering Delivery Lead",".agents/skills/doc-maintenance/references/section-map.md"
"agent:doc-maintenance-skill:959f5e76a3","agent","implemented","Doc Maintenance Skill",".agents/skills/doc-maintenance/SKILL.md","Engineering Delivery Lead",".agents/skills/doc-maintenance/SKILL.md"
"agent:paperclip-project-memory-map:d3c8732f5c","agent","implemented","Paperclip Project Memory Map",".agents/skills/paperclip-project-memory/references/memory-map.md","Engineering Delivery Lead",".agents/skills/paperclip-project-memory/references/memory-map.md"
"agent:paperclip-project-memory:38e98a220e","agent","implemented","Paperclip Project Memory",".agents/skills/paperclip-project-memory/SKILL.md","Engineering Delivery Lead",".agents/skills/paperclip-project-memory/SKILL.md"
"agent:pr-report-style-guide:59da2c5e3c","agent","implemented","PR Report Style Guide",".agents/skills/pr-report/references/style-guide.md","Engineering Delivery Lead",".agents/skills/pr-report/references/style-guide.md"
"agent:pr-report-skill:fb2d926951","agent","implemented","PR Report Skill",".agents/skills/pr-report/SKILL.md","Engineering Delivery Lead",".agents/skills/pr-report/SKILL.md"
"agent:prcheckloop:c75ac8fba3","agent","implemented","PRCheckloop",".agents/skills/prcheckloop/SKILL.md","Engineering Delivery Lead",".agents/skills/prcheckloop/SKILL.md"
